Name,Studio,Genre,Modes,Modding Support,Spinoff/Sequel,Open World,Player Persepective,Platforms,Platform Count,Story Hours,Extra Hours,Completionist,Map Size(sqkm),has_map_size,unique_factor,Launch Price,price_per_story_hour,price_per_extra_hour,price_per_completionist_hour,Release Date,Day,Month,Year,Franchise,content_density,critics_rating,user_rating
Red Dead Redemption 2,Rockstar Games,"Shooter, RPG, Adventure, Action","Single player, Multiplayer, Co-operative",Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 4/5, Xbox One",4,50.5,84,189,75,1,1,$59.99,$1.19,$0.71,$0.32,26/10/2018,26,10,2018,Red Dead Redemption,0.6733333333,9.85,9.18
Grand Theft Auto V,Rockstar Games,"Shooter, Arcade, Action","Single player, Multiplayer, Co-operative",Yes,Yes,Yes,"First Person, Third Person","PC, Playstation 4/5, Xbox One/Series XIS",5,32,51,87.5,75.84,1,1,$59.99,$1.87,$1.18,$0.69,17/09/2013,17,9,2013,Grand Theft Auto ,0.4219409283,9.85,8.48
Assassin's Creed Origins,Ubisoft Montreal,"Action, RPG, Stealth, Parkour","Single player, Multiplayer, Co-operative",Limited,Yes,Yes,Third Person,"PC, Playstation 4, Xbox One",3,30,52.5,85,80,1,1,$59.99,$2.00,$1.14,$0.71,27/10/2017,27,10,2017,Assassins Creed,0.375,8.55,8.20
Far Cry 3,Ubisoft Montreal,"Action, Adventure, Shooter, FPS","Single player, Multiplayer",Yes,Yes,Yes,First Person,"PC, Playstation 3/4, Xbox 360",4,16,25.5,36.5,41,1,1,$21.04,$1.32,$0.83,$0.58,29/11/2012,29,11,2012,Far Cry,0.3902439024,8.90,8.65
Assassin's Creed Valhalla,Ubisoft Montreal,"Action, RPG, Stealth, Parkour",Single Player,No,Yes,Yes,Third Person,"PC, Playstation 4/5, Xbox One",4,61,99,149,120,1,0,$59.99,$0.98,$0.61,$0.40,10/11/2020,10,11,2020,Assassins Creed,0.5083333333,8.00,7.05
Assassin's Creed Shadows,Ubisoft Montreal,"Action, RPG, Stealth, Parkour, Vikings",Single Player,No,Yes,Yes,Third Person,"PC, Playstation 4/5, Xbox One",4,34,63.5,95,125,1,1,$69.99,$2.06,$1.10,$0.74,20/03/2025,20,3,2025,Assassins Creed,0.272,8.10,6.88
Redfall,Arkane Studios,"Action, Adventure, Co-op, FPS","Single Player, Multipllayer, Co-operative",No,No,Yes,First Person,"PC, Xbox Series XIS",2,12.5,19.5,31,NA,0,0,$70.00,$5.60,$3.59,$2.26,2/5/2023,2,5,2023,NA,NA,4.80,4.28
Grand Theft Auto San Andreas,Rockstar Games,"Shooter, Racing, Action","Single player, Multiplayer, Co-operative",Yes,Yes,Yes,Third Person,"PC, Playstation 2/3/4, Xbox/360",6,30,45,72.5,38.2,1,1,$49.99,$1.67,$1.11,$0.69,26/10/2004,26,10,2004,Grand Theft Auto ,0.7853403141,9.55,9.13
Assassin's Creed IV Black Flag,Ubisoft Montreal,"Action, RPG, Stealth, Parkour, Adventure","Single player, Multiplayer, Co-operative",Limited,Yes,Yes,Third Person,"PC, Playstation 3/4, Xbox 360/One, Nintendo Switch, Wii U",7,23.5,41,63.5,233,1,1,$39.99,$1.70,$0.98,$0.63,29/10/2013,29,10,2013,Assassins Creed,0.1008583691,8.65,8.58
Far Cry Primal,Ubisoft Montreal,"Action, Adventure, FPS",Single player,Limited,Yes,Yes,First Person,"PC, Playstation 4, Xbox One",3,15,23.5,36.5,31,1,1,$29.99,$2.00,$1.28,$0.82,23/02/2016,23,2,2016,Far Cry,0.4838709677,7.75,7.55
Cyberpunk 2077,CD Projekt Red,"Sci-fi, RPG, Shooter, Adventure",Single player,Limited,No,Yes,"First Person, Third Person","PC, Playstation 4/5, Xbox One/Series XIS",5,26,63,107,225,1,1,$59.99,$2.31,$0.95,$0.56,10/12/2020,10,12,2020,Cyberpunk,0.1155555556,8.80,8.25
Ghost of Tsushima,Sucker Punch Productions,"RPG, Adventure, Hack and slash/Beat 'em up, Action, Historical, Stealth",Single player,Limited,No,Yes,Third Person,"PC, Playstation 4/5",3,25,46,62.5,28.62,1,1,$59.99,$2.40,$1.30,$0.96,17/07/2020,17,7,2020,Ghost,0.8735150245,8.65,9.08
Marvel's Spiderman,Insomniac Games,"Hack and slash/Beat 'em up, Adventure, Superhero, Action, Stealth",Single player,Yes,No,Yes,Third Person,"PC, Playstation 4/5",3,18,29.5,45,2,1,1,$59.99,$3.33,$2.03,$1.33,7/9/2018,7,9,2018,Marvel's Spiderman,9,8.70,8.88
Far Cry 4,Ubisoft Montreal,"Action, Adventure, Shooter, FPS","Single player, Multiplayer",Limited,Yes,Yes,First Person,"PC, Playstation 3/4, Xbox 360/One",5,18,31,47,41,1,0,$29.99,$1.67,$0.97,$0.64,18/11/2014,18,11,2014,Far Cry,0.4390243902,8.50,8.08
Far Cry 5,Ubisoft Montreal,"Action, Adventure, Shooter, FPS","Single player, Multiplayer, Co-operative",Limited,Yes,Yes,First Person,"PC, Playstation 3/4, Xbox 360/One",5,18,31,47.5,60,1,0,$59.99,$3.33,$1.94,$1.26,27/03/2018,27,3,2018,Far Cry,0.3,8.50,7.88
Assassins Creed Rogue,Ubisoft Sofia,"Action, RPG, Stealth, Parkour","Single player, Multiplayer",Limited,Yes,Yes,Third Person,"PC, Playstation 3, Xbox 360",3,10.5,22.5,40,70,1,0,$29.99,$2.86,$1.33,$0.75,11/11/2014,11,11,2014,Assassins Creed,0.15,7.00,7.28
Grand Theft Auto IV,Rockstar North,"Shooter, Arcade, Action","Single player, Multiplayer",Yes,Yes,Yes,Third Person,"PC, Playstation 3, Xbox 360",3,27,40.5,74,16.14,1,1,$19.99,$0.74,$0.49,$0.27,29/04/2008,29,4,2008,Grand Theft Auto ,1.672862454,9.90,8.63
Grand Theft Auto Vice City,Rockstar North,"Shooter, Arcade, Action",Single player,Yes,Yes,Yes,Third Person,"PC, Playstation 2, Xbox",3,17,24.5,38,9.11,1,1,$4.81,$0.28,$0.20,$0.13,27/10/2002,27,10,2002,Grand Theft Auto ,1.866081229,9.60,8.88
Far Cry 6,Ubisoft Toronto,"Action, Adventure, Shooter, FPS","Single player, Multiplayer, Co-operative",Limited,Yes,Yes,First Person,"PC, Playstation 4/5, Xbox One/Series XIS",5,24.5,41.5,63.5,88,1,0,$59.99,$2.45,$1.45,$0.94,7/10/2021,7,10,2021,Far Cry,0.2784090909,7.65,6.38
Red Dead Redemption,"Rockstar North, Rockstar San Diego","Shooter, RPG, Adventure, Action","Single player, Multiplayer",Yes,No,Yes,Third Person,"Playstation 3, Xbox 360",2,17.5,26,46,41,1,1,$59.99,$3.43,$2.31,$1.30,18/05/2010,18,5,2010,Red Dead Redemption,0.4268292683,9.60,9.05
Call of Duty 4: Modern Warfare,Infinity Ward,"Shooter, Simulator, Action, Stealth, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",No,Yes,No,First Person,"Mac, PC, Playstation 3, Xbox 360",4,7,9.5,16.5,8.75,1,1,$19.99,$2.86,$2.10,$1.21,05/11/2007,5,11,2007,Call of Duty,0.8,9.40,8.73
Call of Duty: Modern Warfare 2,Infinity Ward,"Shooter, Simulator, Action, Stealth, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",No,Yes,No,First Person,"Mac, PC, Playstation 3, Xbox 360",4,6.5,10.5,31,8.75,1,0,$59.99,$9.23,$5.71,$1.94,10/11/2009,10,11,2009,Call of Duty,0.7428571429,9.45,8.48
Call of Duty: Modern Warfare 3,"Sledgehammer Games, Infinity Ward","Shooter, Simulator, Action, Stealth, Warfare","Single player, Multiplayer, Co-operative, Splitscreen",No,Yes,No,First Person,"Mac, PC, Playstation 3, Xbox 360",4,6,10,39,8.75,1,0,$59.99,$10.00,$6.00,$1.54,8/10/2011,8,10,2011,Call of Duty,0.6857142857,8.90,7.23
Watch Dogs,Ubisoft Montreal,"Shooter, Adventure, Action, Science Fiction, Stealth, Sandbox","Single player, Multiplayer, Co-operative",Yes,No,Yes,Third Person,"PC, Playstation3/4, Wii U, Xbox 360/One",6,19.5,33,62.5,23.76,1,1,$19.99,$1.03,$0.61,$0.32,26/05/2014,26,5,2014,Watch Dogs,0.8207070707,8.20,7.35
