Name,Studio,Genre,Modes,Modding Support,Spinoff/Sequel,Open World,Player Persepective,Platforms,Platform Count,Story Hours,Extra Hours,Completionist,Map Size(sqkm),has_map_size,unique_factor,Launch Price,price_per_story_hour,price_per_extra_hour,price_per_completionist_hour,Release Date,Day,Month,Year,Franchise,content_density,critics_rating,user_rating,genre_count,modes_count,has_Action,has_Adventure,has_Shooter,has_Rpg,has_Survival,has_multiplayer,has_coop,is_first_person,is_third_person,is_isometric,is_vr,is_side_view,franchise_avg_critic,franchise_avg_user,is_first_franchise_game,studio_avg_critic,studio_avg_user,has_new_studio
The Elder Scrolls: Arena,bethesda softworks,"rpg,action,fantasy,sandbox",single player,No,No,Yes,First Person,PC,1,26.5,45.5,62.0,120000.0,1,1,$49.99,$1.89,$1.10,$0.81,1994-03-25,25,3,1994,The Elder Scrolls,0.0002208333333,7.0,6.83,4,1,1,0,0,1,0,0,0,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Resident Evil,capcom planning room 2,"adventure,action,horror,survival",single player,No,No,No,Third Person,"PC, Playstation",2,7.0,8.5,15.0,,0,1,$49.99,$7.14,$5.88,$3.33,1996-03-22,22,3,1996,Resident Evil,,8.9,8.6,4,1,1,1,0,0,1,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
The Elder Scrolls II: Daggerfall,bethesda game studios,"rpg,adventure,action,fantasy,historical,sandbox",single player,Yes,Yes,Yes,"First Person, Third Person",DOS,1,31.0,74.5,269.0,161000.0,1,1,$49.99,$1.61,$0.67,$0.19,1996-08-31,31,8,1996,The Elder Scrolls,0.0001925465839,8.25,8.15,6,1,1,1,0,1,0,0,0,1,1,0,0,0,7.0,6.83,0,7.699408284023669,7.367455621301775,0
Postal,running with scissors,"shooter,indie,action","single player,multiplayer",No,No,No,Bird view/Isometric,"Linux, Mac, PC",3,2.5,3.5,13.5,,0,1,$49.99,$20.00,$14.28,$3.70,1997-09-24,24,9,1997,Postal,,2.8,7.2,3,2,1,0,1,0,0,1,0,0,0,1,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Fallout: A Post Nuclear Role Playing Game,"interplay entertainment,black isle studios","rpg,science fiction,survival,stealth",single player,Limited,No,No,Bird view/Isometric,"DOS, Linux, Mac, OnLive Game System, PC",5,16.0,23.0,32.5,,0,1,$49.99,$3.12,$2.17,$1.54,1997-10-10,10,10,1997,Fallout,,9.2,9.05,4,1,0,0,0,1,1,0,0,0,0,1,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
An Elder Scrolls Legend: Battlespire,bethesda softworks,"rpg,action,fantasy","single player,multiplayer",No,Yes,No,First Person,DOS,1,15.5,25.5,37.0,,0,1,$49.99,$3.23,$1.96,$1.35,1997-11-30,30,11,1997,The Elder Scrolls,,5.7,6.0,3,2,1,0,0,1,0,1,0,1,0,0,0,0,7.625,7.49,0,7.0,6.83,0
Resident Evil 2,capcom planning room 2,"shooter,adventure,action,horror,survival",single player,No,Yes,No,Third Person,"Dreamcast, Nintendo GameCube, PC, Playstation, Playstation, Playstation Portable",6,6.0,9.5,15.5,,0,1,$49.99,$8.33,$5.26,$3.23,1998-01-21,21,1,1998,Resident Evil,,7.6,8.8,5,1,1,1,1,0,1,0,0,0,1,0,0,0,8.9,8.6,0,8.9,8.6,0
Fallout 2,black isle studios,"puzzle,rpg,science fiction,survival,stealth,comedy",single player,Limited,Yes,No,Bird view/Isometric,"Mac, PC",2,30.5,47.5,82.5,,0,0,$49.99,$1.64,$1.05,$0.61,1998-10-29,29,10,1998,Fallout,,8.75,9.1,6,1,0,0,0,1,1,0,0,0,0,1,0,0,9.2,9.05,0,9.2,9.05,0
The Elder Scrolls Adventures: Redguard,bethesda softworks,"rpg,adventure,action,fantasy,historical",single player,No,Yes,No,Third Person,"DOS, PC",2,17.0,17.0,17.0,,0,1,$49.99,$2.94,$2.94,$2.94,1998-10-31,31,10,1998,The Elder Scrolls,,6.5,6.5,5,1,1,1,0,1,0,0,0,0,1,0,0,0,6.983333333333333,6.993333333333333,0,6.35,6.415,0
Silent Hill,team silent,"puzzle,adventure,action,horror,survival",single player,Limited,No,No,Third Person,"Playstation, Playstation 3/Portable",3,7.0,8.0,14.5,,0,1,$49.99,$7.14,$6.25,$3.45,1999-02-24,24,2,1999,Silent Hill,,8.8,8.83,5,1,1,1,0,0,1,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Resident Evil 3: Nemesis,capcom planning room 2,"shooter,adventure,action,horror,survival,puzz",single player,Limited,Yes,No,Third Person,"Dreamcast, Nintendo GameCube, PC, Playstation, Playstation, Playstation Portable",6,7.0,8.0,13.0,,0,0,$49.99,$7.14,$6.25,$3.85,1999-09-22,22,9,1999,Resident Evil,,8.55,8.63,6,1,1,1,1,0,1,0,0,0,1,0,0,0,8.25,8.7,0,8.25,8.7,0
Resident Evil Code: Veronica,nextech,"shooter,adventure,action,horror,survival,puzz","single player,multiplayer",No,Yes,No,Third Person,Dreamcast,1,11.5,14.0,17.5,,0,0,$49.99,$4.35,$3.57,$2.86,2000-02-03,3,2,2000,Resident Evil,,4.7,8.08,6,2,1,1,1,0,1,1,0,0,1,0,0,0,8.35,8.676666666666668,0,7.699408284023669,7.367455621301775,0
Fallout Tactics: Brotherhood of Steel,micro forté,"rpg,strategy,tactical,tbs,action,science fiction,stealth","single player,multiplayer",Limited,Yes,No,Bird view/Isometric,"Mac, PC",2,25.5,45.5,49.5,,0,0,$49.99,$1.96,$1.10,$1.01,2001-03-15,15,3,2001,Fallout,,8.25,7.18,7,2,1,0,0,1,0,1,0,0,0,1,0,0,8.975,9.075,0,7.699408284023669,7.367455621301775,0
Max Payne,remedy entertainment,"shooter,action,thriller",single player,Yes,No,No,Third Person,"Android, iOS, Mac, PC, Playstation 2/3/4, Xbox/360/One",10,8.0,9.0,11.5,,0,1,$49.99,$6.25,$5.55,$4.35,2001-07-23,23,7,2001,Max Payne,,9.1,8.93,3,1,1,0,1,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Silent Hill 2,team silent,"puzzle,adventure,drama,horror,survival,mystery",single player,Yes,Yes,No,Third Person,Playstation 2,1,16.0,18.5,32.0,,0,1,$49.99,$3.12,$2.70,$1.56,2001-09-24,24,9,2001,Silent Hill,,8.8,9.4,6,1,0,1,0,0,1,0,0,0,1,0,0,0,8.8,8.83,0,8.8,8.83,0
Grand Theft Auto III,"dma design,transgaming inc.","shooter,arcade,action",single player,Limited,Yes,Yes,Third Person,"Android, iOS, Mac, PC, Playstation 2, Xbox",6,14.0,20.5,36.5,8.12,1,1,$49.95,$3.57,$2.44,$1.37,2001-10-22,22,10,2001,Grand Theft Auto ,1.724137931,9.65,7.78,3,1,1,0,1,0,0,0,0,0,1,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
Tom Clancy's Ghost Recon,red storm entertainment,"shooter,simulator,strategy,tactical,adventure,action,warfare","single player,multiplayer,co-operative",Yes,Yes,No,First Person,"Mac, Nintendo GameCube, PC, Playstation 2, Xbox",5,10.0,12.5,13.5,,0,1,$49.99,$5.00,$4.00,$3.70,2001-11-13,13,11,2001,Ghost Recon,,8.85,7.83,7,3,1,1,1,0,0,1,1,1,0,0,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
E.T. The Extra Terrestrial,newkidco,"adventure,science fiction",single player,No,No,No,Bird view/Isometric,Game Boy Advance,1,2.5,2.5,2.5,,0,1,$34.95,$13.98,$13.98,$13.98,2001-12-14,14,12,2001,,,4.05,2.58,2,1,0,1,0,0,0,0,0,0,0,1,0,0,7.699408284023669,7.367455621301775,1,7.699408284023669,7.367455621301775,0
